speaker,vowel,F1_lobnorm,F2_lobnorm
1202,AA,0.8755555555555555,-0.8756666666666667
1202,AE,0.4974166666666667,0.7836666666666666
1202,AH,-0.5303333333333333,-0.8363333333333333
1202,AO,0.0065833333333333395,-1.1745833333333333
1202,AW,0.60975,0.351
1202,AY,1.1169375,-0.1969375
1202,EH,-0.36813043478260865,0.5076521739130435
1202,EY,-0.948,2.051
1202,IH,-0.7565,0.7465
1202,IY,-1.3617777777777778,1.8128888888888888
1202,OW,-0.6226666666666667,-0.6266666666666666
1202,OY,-0.873,-1.6615
1202,UH,-0.2915,-0.8525
1202,UW,-1.1231111111111112,-0.08044444444444446
1203,AA,0.8904242424242425,-0.7624848484848484
1203,AE,0.06161111111111111,0.973611111111111
1203,AH,0.469,-1.1139999999999999
1203,AO,0.4568947368421053,-1.0887368421052632
1203,AW,0.37418181818181817,0.16854545454545455
1203,AY,0.7427857142857144,-0.6047142857142856
1203,EH,-0.18366666666666664,0.6869047619047619
1203,EY,-0.6162857142857143,1.151142857142857
1203,IH,-0.9736666666666666,0.8761666666666666
1203,IY,-1.5350000000000001,1.7545454545454546
1203,OW,-0.724375,-0.43325
1203,OY,-1.0615,-1.604
1203,UH,-0.9495,-0.895
1203,UW,-2.0018333333333334,0.063
1204,AA,0.5432121212121211,-0.9370303030303031
1204,AE,0.8815294117647059,0.9091176470588236
1204,AH,0.516,-0.39466666666666667
1204,AO,-0.1248076923076923,-1.176153846153846
1204,AW,0.5191818181818182,0.7326363636363635
1204,AY,1.2151764705882353,-0.3466470588235294
1204,EH,-0.11800000000000001,0.78996
1204,EY,-0.500625,1.02675
1204,IH,-1.0595,0.9871666666666666
1204,IY,-1.6822857142857142,1.5429285714285714
1204,OW,-0.287,-0.4627777777777778
1204,OY,-1.4145,-1.5535
1204,UH,-0.6103333333333333,-0.6114999999999999
1204,UW,-1.2937777777777777,0.05766666666666667
1205,AA,0.78384,-0.7802800000000001
1205,AE,0.6464615384615384,0.8403846153846154
1205,AH,0.019000000000000003,-0.482
1205,AO,0.11685714285714287,-1.0625714285714285
1205,AW,0.6238333333333334,0.15866666666666665
1205,AY,0.8235714285714285,-0.17657142857142857
1205,EH,-0.25830434782608697,0.8359130434782608
1205,EY,-0.289,1.2243333333333333
1205,IH,-1.095,0.617
1205,IY,-1.87125,1.767375
1205,OW,-0.8931666666666667,-0.4728333333333334
1205,OY,-0.8645,-1.6110000000000002
1205,UH,-0.581,-0.9465
1205,UW,-1.8147142857142857,-0.129
1206,AA,0.9851904761904762,-0.6987142857142857
1206,AE,0.06792857142857145,0.553
1206,AH,-0.1335,-0.475
1206,AO,0.067,-1.4268750000000001
1206,AW,-0.0864,0.12430000000000001
1206,AY,1.754181818181818,-0.29736363636363633
1206,EH,-0.5876086956521739,0.4174347826086956
1206,EY,-0.13524999999999998,0.623875
1206,IH,-0.62425,0.5975
1206,IY,-1.1807272727272726,1.9455454545454545
1206,OW,-0.4008,-0.4394
1206,OY,-0.49350000000000005,-1.817
1206,UH,-0.29033333333333333,-0.48866666666666664
1206,UW,-0.9902857142857143,0.2365714285714286
1207,AA,0.68325,-0.6505
1207,AE,0.8815714285714286,0.6421428571428571
1207,AH,-0.16,-0.694
1207,AO,-0.1587,-1.0844
1207,AW,-0.025000000000000005,0.6157999999999999
1207,AY,0.5554444444444445,0.133
1207,EH,-0.11,0.7826363636363637
1207,IH,-1.821,1.604
1207,IY,-2.4905,3.175
1207,OW,-1.162,-0.3153333333333333
1207,OY,-1.255,-1.188
1207,UH,-0.711,-0.7809999999999999
1207,UW,-2.017,0.10100000000000002
1208,AA,0.9732222222222222,-0.7223333333333333
1208,AE,0.327125,0.479375
1208,AH,-0.0945,-0.638
1208,AO,0.8325714285714286,-1.1447142857142858
1208,AW,0.018571428571428565,0.004428571428571427
1208,AY,0.971,-0.4901818181818181
1208,EH,-0.5092666666666666,0.4670666666666667
1208,EY,-0.1235,0.6990000000000001
1208,IH,-0.6635,0.48425
1208,IY,-1.1256666666666666,1.8943333333333332
1208,OW,-0.827,-0.4713333333333333
1208,OY,-0.96,-2.225
1208,UH,-0.199,-0.9505
1208,UW,-1.1156666666666666,0.1915
1209,AA,0.6476764705882353,-0.7441764705882353
1209,AE,0.4031333333333333,1.0226666666666666
1209,AH,0.1426,-0.28759999999999997
1209,AO,0.2632,-1.0613599999999999
1209,AW,0.38366666666666666,0.4103333333333333
1209,AY,0.5115000000000001,-0.17485
1209,EH,-0.06668181818181819,0.7121363636363637
1209,EY,-0.6886666666666666,1.6088333333333333
1209,IH,-1.2598333333333334,1.2368333333333335
1209,IY,-1.3466666666666667,1.5603333333333333
1209,OW,-0.7895999999999999,-0.5519999999999999
1209,OY,-0.893,-1.3455
1209,UH,-0.342,-0.9735
1209,UW,-1.8165714285714285,0.437
1210,AA,0.948388888888889,-0.6033055555555555
1210,AE,0.31589999999999996,0.81455
1210,AH,0.30566666666666664,-0.39233333333333337
1210,AO,0.14784,-1.08476
1210,AW,0.4399,0.3713
1210,AY,0.8095333333333333,-0.32426666666666665
1210,EH,-0.3036842105263158,0.6858421052631579
1210,EY,-0.52325,1.413125
1210,IH,-1.1038000000000001,0.7372
1210,IY,-1.6868461538461537,1.777
1210,OW,-0.729,-0.7963
1210,OY,-0.966,-1.486
1210,UH,-0.5503333333333333,-1.151
1210,UW,-1.7825,-0.08499999999999999
1211,AA,0.7867500000000001,-0.991375
1211,AE,0.5753125,0.5369375
1211,AH,0.3938,-0.702
1211,AO,0.4323333333333333,-1.36475
