speaker,original_speakerid_in_metadata,gender,ethnicity,occupation_type,education_type,occupation,education,childcity,childloc,childzip,childstate,childLat,childLong,teencity,teenloc,teenzip,teenstate,teenLat,teenLong,adultcity,adultzip,adultstate,MT_taskname,consented_for_audio_to_be_public,origin,childLatJittered,childLongJittered,birthyear,childLatJittered_day2,childLongJittered_day2,childLatJittered_day3,childLongJittered_day3
1691,491,F,white,Dispatcher,somecoll,4,3,Providence,urban,2908,RI,41.8398254,-71.436794,Providence,urban,2906,RI,41.8401692,-71.3904078,Providence,2908.0,RI,2016_10_10_9_LGEXt,yes,MechanicalTurkProject,41.845810958501765,-71.43574732105442,1972.0,41.91247774260399,-71.40155529642034,41.91888707438463,-71.30876856617115
1692,492,M,chinese,Systems Administrator,grad,2,5,Cambridge,suburban,2138,MA,42.3796372,-71.1351523,Cambridge,suburban,2138,MA,42.3796372,-71.1351523,Cambridge,2138.0,MA,2016_10_10_9_qCXOz,yes,MechanicalTurkProject,42.38517769676022,-71.14362486093385,1964.0,42.365437545872965,-71.19675732820986,42.32257786291137,-71.31363903873998
1693,493,M,white,car Sales Consultant,high,3,2,Winthrop,urban,2152,MA,42.3730546,-70.9748072,Medford,urban,2155,MA,42.4238395,-71.1076732,Woburn,1801.0,MA,2016_10_10_10_mIvvE,yes,MechanicalTurkProject,42.378774048536414,-70.96933291361348,1995.0,42.29860988390206,-71.01301858144484,42.367551358381895,-71.13002899677822
1695,495,F,white,Speech-Language Pathology Assistant,bach,3,4,Easton,suburban,2356,MA,42.0604855,-71.1249698,Easton,suburban,2356,MA,42.0604855,-71.1249698,Amherst,1002.0,MA,2016_10_10_11_oKxYF,yes,MechanicalTurkProject,42.05970754724387,-71.1298393008549,1995.0,41.980591365298096,-71.10926552966139,41.95115974361948,-71.06855920192758
1696,496,M,white,office administrator,bach,3,4,Tolland,rural,6084,CT,41.8830194,-72.3588694,Tolland,rural,6084,CT,41.8830194,-72.3588694,Tolland,6084.0,CT,2016_10_10_11_sBVeO,yes,MechanicalTurkProject,41.88287486189013,-72.36150792327594,1990.0,41.9410620537803,-72.40885095598951,41.988435683452416,-72.38109131890536
1697,497,F,white,Gym Owner,bach,2,4,Pittsfield,rural,1201,MA,42.4482361,-73.2737268,hancock,urban,1237,MA,42.5478177,-73.2680327,Pittsfield,1201.0,MA,2016_10_10_13_WtQRN,yes,MechanicalTurkProject,42.44950522870079,-73.26686760577446,1987.0,42.50657531074872,-73.14877173158303,42.55319503879867,-73.02465969728992
1698,498,F,white,Caregiver,somecoll,5,3,Stratford,suburban,6614,CT,41.2324658,-73.1298734,Stratford,suburban,6614,CT,41.2324658,-73.1298734,West Haven,6516.0,CT,2016_10_10_19_ddLdA,yes,MechanicalTurkProject,41.23362806313396,-73.13478170875148,1980.0,41.19119990338694,-73.16065039722085,41.149902029669754,-73.21965522183093
1699,499,F,white,Customer Service Representative ,somecoll,3,3,Livermore Falls,rural,4254,ME,44.4453592,-70.1382191,Livermore Falls,rural,4254,ME,44.4453592,-70.1382191,Livermore Falls,4254.0,ME,2016_10_10_19_MZkRt,yes,MechanicalTurkProject,44.43941047569955,-70.14826865748881,1989.0,44.38958414664,-70.13790573893547,44.37001589032452,-70.17437678221673
1700,500,F,white,Physical Therapist,grad,3,5,Lyndonville,rural,5851,VT,44.5571323,-72.0805897,Lyndonville,rural,5851,VT,44.5571323,-72.0805897,Derby,5829.0,VT,2016_10_10_21_IDlHK,yes,MechanicalTurkProject,44.55771681817542,-72.08821732220974,1979.0,44.56712334395858,-72.11314617335532,44.60616766257139,-72.24347414295178
1702,502,M,white,Deputy Refuge Manager,somecoll,2,3,Bethel,rural,4217,ME,44.3800998,-70.8152388,Bethel,rural,4217,ME,44.3800998,-70.8152388,Colchester,5439.0,VT,2016_10_11_12_wBuxT,yes,MechanicalTurkProject,44.37766792934769,-70.82398721330352,1995.0,44.37347294779788,-70.76930710167552,44.39788673034419,-70.77438995988521
