 speaker,original_speakerid_in_metadata,gender,ethnicity,occupation_type,education_type,occupation,education,childcity,childloc,childzip,childstate,childLat,childLong,teencity,teenloc,teenzip,teenstate,teenLat,teenLong,adultcity,adultzip,adultstate,MT_taskname,consented_for_audio_to_be_public,origin,adult_latitude,adult_longitude
1602,402,M,white,Customer Service,somecoll,3,3,Lynn,urban,1902,MA,42.4710392,-70.9415353,Lynn,urban,1902,MA,42.4710392,-70.9415353,Lynn,1902.0,MA,2016_9_28_14_YLrfH,yes,MechanicalTurkProject,42.466763,-70.9494939
1603,403,M,white,Retail,somecoll,3,3,Stoneham,suburban,2180,MA,42.4742082,-71.0976654,Stoneham,suburban,2180,MA,42.4742082,-71.0976654,Stoneham,2180.0,MA,2016_9_28_16_LQkrz,yes,MechanicalTurkProject,42.4802635,-71.0993581
1604,404,M,vietnamese,Technician,high,4,2,Salem,suburban,3079,NH,42.7882748,-71.22172,Salem,suburban,3079,NH,42.7882748,-71.22172,Salem,,NH,2016_9_28_18_AvTsB,yes,MechanicalTurkProject,42.7884957,-71.2009035
1605,405,F,chinese,accountant,bach,3,4,Providence,urban,2908,RI,41.8398254,-71.436794,Providence,urban,2908,RI,41.8398254,-71.436794,Providence,2908.0,RI,2016_9_28_19_fhngK,yes,MechanicalTurkProject,41.8239891,-71.4128343
1606,406,F,white,Teacher ,bach,3,4,Quincy ,suburban,2169,MA,42.248386,-71.0022792,Quincy ,suburban,2169,MA,42.248386,-71.0022792,Quincy ,2169.0,MA,2016_9_28_19_TjLMT,yes,MechanicalTurkProject,42.2509914,-71.0037374
1607,407,F,korean,Self Employed,high,4,2,Attleboro,suburban,2703,MA,41.9316531,-71.2945028,Rockport,rural,4856,ME,44.1806036,-69.1221093,Camden,4843.0,ME,2016_9_28_20_nsbJd,yes,MechanicalTurkProject,44.210265,-69.065552
1608,408,F,white,Scientist,grad,3,5,Worcester,suburban,1606,MA,42.3152487,-71.7957414,Worcester,suburban,1605,MA,42.2896832,-71.7877932,Lowell,1854.0,MA,2016_9_29_17_fYiZT,yes,MechanicalTurkProject,42.6414437,-71.3085329
1609,409,F,white,"Project Manager, Sociobehavioral research",grad,3,5,Johnston,suburban,2919,RI,41.8274402,-71.5198792,Johnston,suburban,2919,RI,41.8274402,-71.5198792,Boston,2215.0,MA,2016_9_29_17_Kcqtd,yes,MechanicalTurkProject,42.3554334,-71.060511
1610,410,M,white,Operations Director,bach,2,4,Litchfield,rural,3052,NH,42.8460813,-71.468283,Litchfield,rural,3052,NH,42.8460813,-71.468283,Durham,3824.0,NH,2016_9_29_20_IhIMu,yes,MechanicalTurkProject,43.134564,-70.927048
1611,411,F,white,CNA,somecoll,3,3,Hopkinton,rural,2833,RI,41.4835826,-71.7721116,Hopkinton,rural,2833,RI,41.4835826,-71.7721116,Hopkinton,2833.0,RI,2016_9_29_21_GGsCk,yes,MechanicalTurkProject,41.4594366,-71.7803046
1612,412,M,white,Governance Analyst,bach,3,4,Portland,urban,4101,ME,43.6626067,-70.257949,Fort Kent,rural,4743,ME,47.2002665,-68.6143326,Bangor,4401.0,ME,2016_9_29_22_QlKhz,yes,MechanicalTurkProject,44.8016255,-68.7713289
1613,413,F,white,Retail manager,bach,2,4,Ashburnham,rural,1430,MA,42.6570054,-71.9234423,Ashburnham,rural,1430,MA,42.6570054,-71.9234423,Ashburnham,1430.0,MA,2016_9_30_7_IPHlJ,no,MechanicalTurkProject,42.6357648,-71.9086801
1614,414,M,black,Journalist,bach,3,4,Providence,urban,2907,RI,41.7985934,-71.4246301,Glassboro,suburban,8028,NotNE,39.6958627,-75.1214146,Providence,2909.0,RI,2016_9_30_8_SWoca,yes,MechanicalTurkProject,41.8239891,-71.4128343
1615,415,M,white,Chef,bach,4,4,Wareham,suburban,2571,MA,41.7611873,-70.6959913,Wareham,suburban,2571,MA,41.7611873,-70.6959913,Providence,2901.0,MA,2016_9_30_9_TmonT,yes,MechanicalTurkProject,41.8239891,-71.4128343
1616,416,M,white,Tutor,bach,3,4,Ashaway,rural,2804,RI,41.4339344,-71.7703137,Ashaway,rural,2804,RI,41.4339344,-71.7703137,Ashaway,2804.0,RI,2016_9_30_13_Dxnmz,yes,MechanicalTurkProject,41.4267095,-71.7841971
1617,417,F,white,Health Insurance Analyst,bach,3,4,Manchester,suburban,6040,CT,41.7614154,-72.525608,Manchester,suburban,6040,CT,41.7614154,-72.525608,Manchester,6040.0,CT,2016_9_30_13_fPZlm,yes,MechanicalTurkProject,41.7834017,-72.5231973
1618,418,M,white,FAA Parachute Rigger,somecoll,4,3,Kennebunk,suburban,4043,ME,43.3929792,-70.5770318,Kennebunk,suburban,4043,ME,43.3929792,-70.5770318,Kennebunk,4043.0,ME,2016_9_30_14_kshKH,no,MechanicalTurkProject,43.384092,-70.545273
1619,419,F,white,Accountant,grad,3,5,Belfast,rural,4915,ME,44.4635016,-69.0375706,Belfast,rural,4915,ME,44.4635016,-69.0375706,Northport,4849.0,ME,2016_9_30_19_Qwlcd,no,MechanicalTurkProject,44.3378552,-68.961422
1620,420,F,white,Cashier,high,5,2,Quincy,suburban,2169,MA,42.248386,-71.0022792,Weymouth,suburban,2191,MA,42.243453,-70.942033,Brockton,2302.0,MA,2016_10_1_6_INlaB,yes,MechanicalTurkProject,42.0834335,-71.0183787
1624,424,F,white,site coordinator,somecoll,3,3,Bristol,rural,3222,NH,43.642709,-71.7891385,Bristol,rural,3222,NH,43.642709,-71.7891385,bristol,3222.0,NH,2016_10_1_11_KATAV,yes,MechanicalTurkProject,43.5912709,-71.7361557
1626,426,F,white,social worker,bach,3,4,Norwood,suburban,2062,MA,42.1873602,-71.1959555,Norwood,suburban,2062,MA,42.1873602,-71.1959555,new bedford,2740.0,MA,2016_10_1_16_giEwG,yes,MechanicalTurkProject,41.6362152,-70.934205
1627,427,F,white,TD Bank Teller,high,3,2,Brookline,rural,3033,NH,42.749263,-71.6756699,Brookline,rural,3033,NH,42.749263,-71.6756699,Brookline,3033.0,NH,2016_10_1_16_xSwsM,yes,MechanicalTurkProject,42.7348102,-71.6581267
1628,428,F,black,Certifier,somecoll,3,3,Hadley,rural,1030,MA,42.0729247,-72.6869715,Greenfield,suburban,1301,MA,42.6267614,-72.6015304,Greenfield,1301.0,MA,2016_10_1_17_rHPGZ,yes,MechanicalTurkProject,42.5876342,-72.6002068
