speaker,original_speakerid_in_metadata,gender,ethnicity,occupation_type,education_type,occupation,education,childcity,childloc,childzip,childstate,childLat,childLong,teencity,teenloc,teenzip,teenstate,teenLat,teenLong,adultcity,adultzip,adultstate,MT_taskname,consented_for_audio_to_be_public,origin,childLatJittered,childLongJittered,birthyear
1447,247,F,white,kitchen designer,bach,3,4,Warren,suburban,2885,RI,41.7249588,-71.2583733,Warren,suburban,2885,RI,41.7249588,-71.2583733,Warren,2885.0,RI,2016_9_18_15_owMFd,yes,MechanicalTurkProject,41.729138784615714,-71.26202235452972,1980
1449,249,F,white,Registered dietitian,bach,3,4,Billerica,suburban,1821,MA,42.5493295,-71.2517245,Billerica,suburban,1721,MA,42.2577546,-71.4735257,Billerica,1721.0,MA,2016_9_18_16_izxwh,yes,MechanicalTurkProject,42.5544709751863,-71.24384702092651,1980
1450,250,F,white,Architect,grad,4,5,North Attleboro,suburban,2760,MA,41.9725026,-71.3352028,North Attleboro,suburban,2760,MA,41.9725026,-71.3352028,Attleboro,2703.0,MA,2016_9_18_16_YDNrj,yes,MechanicalTurkProject,41.9732783763986,-71.33851984605495,1986
1451,251,F,white,Homemaker ,bach,4,4,Springfield ,suburban,1151,MA,42.1518602,-72.5091312,Springfield ,suburban,1151,MA,42.1518602,-72.5091312,Springfield ,1151.0,MA,2016_9_18_17_eUEFD,yes,MechanicalTurkProject,42.14825855678187,-72.51476278290401,1988
1452,252,F,white,waitress,high,5,2,Rumford,suburban,2916,RI,41.8426533,-71.3524237,attleboro,suburban,2703,MA,41.9316531,-71.2945028,Fall River,2721.0,MA,2016_9_18_17_wSIjy,yes,MechanicalTurkProject,41.84413169039489,-71.34989741614228,1983
1453,253,F,white,manager,somecoll,2,3,berlin,suburban,6037,CT,41.6054768,-72.7784592,berlin,suburban,6037,CT,41.6054768,-72.7784592,berlin,6037.0,CT,2016_9_18_20_fHwsE,yes,MechanicalTurkProject,41.60558685797875,-72.77420841695913,1977
1454,254,F,white,Actress,bach,1,4,Southington,suburban,6479,CT,41.5747697,-72.9119005,Danbury,urban,6810,CT,41.3742839,-73.4576107,Danbury,6810.0,CT,2016_9_18_20_rzVaZ,yes,MechanicalTurkProject,41.58074332682851,-72.90743650014568,1980
1456,256,M,white,it tech,assoc,4,3,millinocket,suburban,4462,ME,45.9727694,-69.0124449,millinocket,suburban,4462,ME,45.9727694,-69.0124449,millinocket,4462.0,ME,2016_9_18_22_hrilN,yes,MechanicalTurkProject,45.974319455023455,-69.0078381967509,1986
1457,257,M,white,security guard,high,5,2,Malden,suburban,2148,MA,42.4301399,-71.0576939,Malden,suburban,2148,MA,42.4301399,-71.0576939,Malden,2148.0,MA,2016_9_18_22_ImBVn,yes,MechanicalTurkProject,42.43268051454976,-71.05939959730952,1976
1458,258,F,white,Office Manager,somecoll,2,3,East Hampton,suburban,6424,CT,41.560603,-72.5023286,East Hampton,suburban,6424,CT,41.560603,-72.5023286,East Hampton,6424.0,CT,2016_9_19_8_IQfxL,yes,MechanicalTurkProject,41.56042925172996,-72.50568007340398,1990
1459,259,F,white,secretary,somecoll,3,3,Warwick,suburban,2889,RI,41.7005907,-71.3769271,Warwick,suburban,2889,RI,41.7005907,-71.3769271,Warren,2885.0,RI,2016_9_19_8_rTZDf,no,MechanicalTurkProject,41.70292878785933,-71.37533417520812,1950
1460,260,F,white,"Lab Coordinator, Student",bach,3,4,Cranston,suburban,2920,RI,41.7673443,-71.4655083,Cranston,suburban,2920,RI,41.7673443,-71.4655083,PRovidence,2906.0,RI,2016_9_19_9_raBWh,yes,MechanicalTurkProject,41.766112690283606,-71.45641705430184,1990
1461,261,M,white,Firefighter,bach,4,4,Norwich,urban,6360,CT,41.5478603,-72.089488,Norwich,urban,6360,CT,41.5478603,-72.089488,Norwich,6360.0,CT,2016_9_19_10_FQMup,no,MechanicalTurkProject,41.544027218343416,-72.09503532889849,1985
1462,262,M,white,Network Engineer,bach,4,4,Milford,suburban,6460,CT,41.2142663,-73.0508121,Milford,suburban,6460,CT,41.2142663,-73.0508121,Middletown,6457.0,CT,2016_9_19_10_gnuwy,yes,MechanicalTurkProject,41.21591607451965,-73.04861865269795,1985
1463,263,F,white,writer,somecoll,4,3,brighton,urban,2135,MA,42.3496885,-71.1539638,allston,urban,2134,MA,42.3580164,-71.1286084,Providence,,RI,2016_9_19_10_uXlku,no,MechanicalTurkProject,42.35088390628267,-71.15159967690721,1988
