speaker1,speaker2,distance_km
1870,1596,5.751275843246238
1226,1543,3.2463445141683747
1778,1629,2.678615723899701
1513,1465,10.506223180149279
1560,1406,1.6917733238012334
1767,1238,6.167109349866654
1462,1505,7.380845360086044
1813,1619,11.022535292402058
1626,1347,3.065225888494582
1388,1326,3.4890623499353155
1874,1476,8.93077858887092
1774,1865,29.41559060866945
1500,1634,1.3327899318284906
1584,1493,3.6520335110432836
1256,1548,6.8419573151655655
1372,1750,6.998030772676893
1470,1355,4.167340387853509
1980,1615,4.789108831801395
1696,1429,13.121561598584739
1745,1959,1.7061377467333227
1735,1658,9.278388244820512
1686,1891,8.233674147046091
1498,1602,4.375167760677052
1393,1247,0.7782990696115438
1636,1908,7.477343605721642
1982,1242,6.822786036589758
1421,1583,14.227389598664484
1940,1245,5.375147093779965
1672,1857,16.20742809401066
1573,1753,9.322673880297705
1504,1492,1.3769783786745644
1277,1849,9.003166309067888
1403,1418,5.081628866120175
1209,1714,7.337090866714702
1806,1286,4.931396085672386
1755,1738,6.339044762708808
1542,1850,8.70623843511848
1716,1923,10.17013110271139
1440,1848,0.5401320446546822
1567,1650,1.6031337713519938
1685,1535,5.99462181775724
1659,1653,10.95068116313366
1439,1748,8.456425041753349
1909,1545,13.12606413679443
1834,1523,17.082069155567826
1362,1641,11.832187948620186
1216,1995,4.626626527771623
1345,1826,14.919559488275477
1291,1855,1.7068816957529678
1597,1552,3.0632321711835573
1340,1747,31.678413729162095
1394,1309,22.83758064629234
1228,1682,0.4071418997246721
2004,1674,3.0170564275664438
1691,1452,3.891203583459908
1557,1601,12.604338768205585
1915,1327,0.6147282722963109
1324,1506,1.9642192745227607
1649,1464,2.6609825152394375
1580,1202,42.088123668507876
1354,2031,18.79266258994594
1518,1883,0.25588632737885647
1706,1854,11.463112962006408
1392,1905,3.9526403781282196
1410,1285,7.064326778687345
1586,1618,10.340604411930407
