speaker1,speaker2,distance_km
1296,1946,6.6983261359769175
1369,1549,2.9838514607676303
1592,1450,5.755205836023864
1559,1282,3.365701448857149
1654,1547,6.121539370241153
1217,1527,3.749775939417046
1810,2041,9.937421642157954
1349,1930,3.6049473121298785
1888,1570,4.155016441729821
1351,1374,12.417646766615393
1993,1744,5.3243108694368075
1445,1265,4.502535603720997
1532,1260,6.725937129047417
1414,1524,0.9716105103817478
1352,1320,0.18098765718442647
1697,1723,5.2990331346948905
1484,1466,3.1427396192896655
2003,1631,3.9143499643893036
1879,2010,10.702570326518073
1977,1520,4.28289124219522
1665,1281,4.8892333972817665
1288,1550,5.813226569508139
1574,1764,12.294182805826775
1430,1472,0.5255439956892609
1766,1705,13.00305300292573
1350,1219,12.719844462751897
1483,1358,3.491092098463066
1481,1595,40.328675368773666
1769,1315,6.449048760008866
1332,1463,1.7977302862994644
1844,1894,6.0474278664288175
1885,1517,9.605294544449594
1239,1671,7.781859510052804
1302,1709,9.71070440871453
2020,1827,5.373193190217526
1598,1460,3.558223095950156
1447,1965,1.0490700174406549
1480,1333,6.228563652166134
1227,1391,30.18872034682952
1272,1313,27.527088262136804
1467,2037,3.639007581720253
1562,1408,3.5750250426388677
1264,1812,10.16573046912712
1551,1478,4.164481779532156
1249,1442,21.115999767291825
1880,1433,3.216186718777378
1308,1765,5.324984351471202
1225,1996,2.6706385344884147
1926,1805,6.207680568480223
1687,1816,17.819743733915494
1453,1240,0.9463981725851552
1521,2012,2.465798345244018
1683,1800,10.731042385844388
1458,1929,13.59854981888239
1546,2032,1.4273951651616985
1624,1988,27.393352888333048
1718,1488,7.658056597293279
1363,1678,18.351811544595126
1495,1614,2.032561243688184
1698,1537,4.335944866559148
1235,2023,1.7860606385212727
1273,1259,19.998541623360545
1301,1339,11.562094020476405
1760,1633,2.0825409464076645
1635,1620,1.2212745761025985
1367,1796,3.0295982573472995
1515,1402,4.293809388830073
1722,1853,3.7760480206610754
1294,1677,2.322534347247568
1449,1825,2.6894061676866445
1742,1989,2.205009239580928
1730,1331,8.046749884950597
1692,1713,0.6915877540972559
1212,1741,3.858060652548602
1378,1801,20.172637082880616
1770,1898,2.2571674383366327
1646,1737,5.162551674831098
1921,1438,10.036170869279568
1628,1423,2.6945206574344116
1236,1591,4.223114670397632
1569,2029,7.764119490208431
1459,1739,3.2765288104634336
1371,1397,2.5171660386173835
1710,1348,6.017165436762548
1684,1457,2.34631999050929
1469,1407,6.208809021817193
1711,1214,22.13581879109485
1740,1357,4.198634532563949
1644,1398,2.9383617552921764
1895,1645,3.669597872482001
1868,1780,10.277266070657742
1669,1589,5.5741444903611495
1257,1254,10.014018670783573
1903,1487,13.078543109932513
1746,1958,3.6798473343940765
1519,1241,2.5862167010023636
1405,1893,4.249101217621435
1205,1984,5.352898049855952
1693,1411,0.15637390961983813
2019,1563,3.8160209486001837
1688,1305,2.968602722133979
1409,1899,0.2823476567741165
1890,1269,2.620384653352221
1611,1616,5.401467954068409
1913,1271,5.635738571234619
1743,1497,0.551147871777443
1609,1417,3.099338774539896
1280,1763,11.396628550100623
1314,1338,6.189563214577523
1613,1396,9.262075092786091
1612,1544,1.455706086226534
1471,1568,2.451419252754352
1690,1365,3.359503762820218
1230,2027,5.062138785349009
1415,1444,2.045180226182797
2033,1704,12.619250482864862
1303,1221,5.6706763070369615
1681,1670,1.8644482532112863
1222,1632,4.133365461576296
1432,1451,4.998427652537977
1283,1907,3.9273039671144434
1377,1673,4.653778439811129
